PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
A. Durham,11,39.25,9.55,19.09,50%,0.82,2.82,29%,7.82,12.55,62%,7.27,0.64,0.91,5.55,13.0,18.55,1.55,3.45,5.0,27.73,MER
C. Newsome,11,30.44,4.91,11.09,44%,0.91,2.27,40%,2.27,2.91,78%,5.64,0.91,0.18,0.73,3.36,4.09,3.36,2.09,3.45,13.0,MER
B. Amer,11,28.18,4.09,10.55,39%,1.82,5.45,33%,1.91,2.18,88%,4.0,0.91,0.09,0.82,4.18,5.0,2.18,1.45,7.27,11.91,MER
C. Hodge,11,29.97,3.91,7.18,54%,0.09,0.64,14%,0.73,1.09,67%,2.0,0.82,0.64,2.82,4.36,7.18,3.36,0.73,9.64,8.64,MER
R. Hugnatan,11,16.64,2.64,6.27,42%,0.73,2.91,25%,0.91,1.18,77%,2.0,0.91,0.18,1.55,1.64,3.18,1.55,0.73,1.45,6.91,MER
R. de Ocampo,3,15.9,3.0,6.0,50%,0.67,3.0,22%,0.0,0.0,0%,0.33,0.33,0.33,0.33,3.33,3.67,1.67,1.33,-5.33,6.67,MER
M. Tolomia,10,16.87,2.2,6.3,35%,1.4,3.6,39%,0.4,0.5,80%,1.8,0.3,0.0,0.1,1.3,1.4,2.4,0.9,-0.1,6.2,MER
A. Caram,11,18.47,2.73,6.45,42%,0.18,1.45,13%,0.55,0.73,75%,0.91,0.45,0.0,0.27,1.36,1.64,1.73,0.91,-5.45,6.18,MER
N. Canaleta,8,17.68,1.88,6.25,30%,1.38,4.63,30%,0.25,0.5,50%,0.88,0.25,0.25,0.25,2.63,2.88,2.0,0.63,1.13,5.38,MER
N. Salva,11,14.3,2.36,4.55,52%,0.0,0.18,0%,0.18,0.36,50%,0.64,0.09,0.27,0.82,2.45,3.27,2.0,0.18,-1.91,4.91,MER
K. Bono,4,5.6,1.5,4.5,33%,0.0,1.0,0%,0.0,0.0,0%,0.25,0.0,0.0,0.75,0.5,1.25,1.0,0.5,-4.5,3.0,MER
R. Jamito,8,8.13,1.13,2.88,39%,0.0,0.13,0%,0.13,0.5,25%,0.25,0.0,0.25,0.63,1.5,2.13,1.88,0.38,-2.13,2.38,MER
G. Lanete,9,6.9,0.78,2.67,29%,0.44,2.22,20%,0.0,0.0,0%,0.33,0.11,0.11,0.0,0.67,0.67,1.22,0.33,-5.22,2.0,MER
J. Sedurifa,2,9.22,0.5,4.0,13%,0.5,4.0,13%,0.0,0.0,0%,0.5,0.0,0.0,0.5,0.5,1.0,2.0,0.5,-1.5,1.5,MER
B. Faundo,4,4.69,0.25,1.25,20%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.25,0.0,1.5,1.5,1.0,0.25,-5.25,0.5,MER
J. Ballesteros,3,5.57,0.0,0.67,0%,0.0,0.0,0%,0.0,0.0,0%,0.33,0.0,0.33,0.33,0.33,0.67,1.0,0.0,-4.0,0.0,MER
S. Atkins,4,5.71,0.0,1.25,0%,0.0,0.5,0%,0.0,0.75,0%,0.75,0.25,0.0,0.0,0.25,0.25,1.75,0.0,-0.75,0.0,MER
R. Buenafe,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
J. Dillinger,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
J. Alapag,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
J. Ferriols,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
M. Jamshidi,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
A. Stepheson,0,0.0,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MER
